table_schema,table_name,column_name,data_type,row_count,null_percent,modifiers,max_length,relation_type,referenced_table,referenced_column,mcv,mcv_frequencies,avg_column_width_bytes
bookings,airplanes_data,airplane_code,character(3),10,NULL,PK,3,NULL,NULL,NULL,NULL,NULL,NULL
bookings,airplanes_data,model,jsonb,10,NULL,,-1,NULL,NULL,NULL,NULL,NULL,NULL
bookings,airplanes_data,range,integer,10,NULL,,-1,NULL,NULL,NULL,NULL,NULL,NULL
bookings,airplanes_data,speed,integer,10,NULL,,-1,NULL,NULL,NULL,NULL,NULL,NULL
bookings,airports_data,airport_code,character(3),5501,0.00,PK,3,NULL,NULL,NULL,NULL,NULL,4
bookings,airports_data,coordinates,point,5501,0.00,,-1,NULL,NULL,NULL,NULL,NULL,16
bookings,airports_data,timezone,text,5501,0.00,,-1,NULL,NULL,NULL,"{America/New_York,America/Chicago,Asia/Shanghai,America/Anchorage,America/Los_Angeles,Europe/Paris,America/Toronto,America/Denver,Asia/Kolkata,Europe/London,Asia/Tokyo,Europe/Berlin,America/Sao_Paulo,Australia/Brisbane,Asia/Tehran,Europe/Moscow,America/Bogota,Europe/Istanbul,Africa/Johannesburg,America/Winnipeg,Europe/Rome,Europe/Oslo,America/Mexico_City,Asia/Manila,America/Edmonton,Europe/Stockholm,America/Caracas,America/Vancouver,Asia/Jakarta,Australia/Sydney,Europe/Athens,Pacific/Auckland,Europe/Madrid,Asia/Bangkok,Indian/Antananarivo,Asia/Karachi,Africa/Algiers,Asia/Kuala_Lumpur,America/Fortaleza,Asia/Makassar,Australia/Perth,Asia/Rangoon,Europe/Helsinki,America/Lima,Asia/Kathmandu,Asia/Riyadh,Pacific/Efate,Africa/Addis_Ababa,America/Nassau,America/Santiago,America/Phoenix,Pacific/Port_Moresby,America/Boa_Vista,Pacific/Tahiti,Africa/Nairobi,America/Havana,Asia/Seoul,Asia/Yekaterinburg,Pacific/Guadalcanal,Africa/Luanda,America/Halifax,America/La_Paz,Asia/Saigon,Africa/Lagos,America/Cordoba,America/Costa_Rica,Africa/Cairo,Asia/Jayapura,Australia/Darwin,Europe/Kiev,Africa/Casablanca,Africa/Dar_es_Salaam,Asia/Taipei,America/Guayaquil,Asia/Kabul,Pacific/Honolulu,America/Argentina/Salta,America/Belem,America/Regina,Atlantic/Reykjavik,America/Godthab,Asia/Qyzylorda,Australia/Adelaide,Europe/Bucharest,Europe/Copenhagen,Africa/Kinshasa,Africa/Maputo,America/Buenos_Aires,Europe/Warsaw,Pacific/Fiji,Africa/Lubumbashi,America/Campo_Grande,Asia/Yakutsk,Africa/Windhoek,Asia/Krasnoyarsk,Europe/Dublin,Europe/Lisbon,Pacific/Tarawa,Africa/Libreville,Australia/Hobart}","{0.06653336,0.0538084,0.034175605,0.030539902,0.025995273,0.02235957,0.021814216,0.019996364,0.019996364,0.019269224,0.016542448,0.016542448,0.0147245955,0.0136338845,0.011997819,0.011816033,0.011634248,0.010907108,0.010179968,0.010179968,0.009998182,0.009816397,0.0092710415,0.009089257,0.008907472,0.008907472,0.008725686,0.008725686,0.008543901,0.008362116,0.0081803305,0.007998546,0.0076349755,0.00745319,0.00745319,0.0072714053,0.006907835,0.006907835,0.00672605,0.00672605,0.00672605,0.0063624796,0.005817124,0.005453554,0.005453554,0.005453554,0.0052717687,0.005089984,0.005089984,0.005089984,0.0049081985,0.0049081985,0.004726413,0.0045446283,0.004362843,0.004362843,0.004362843,0.004362843,0.004362843,0.004181058,0.004181058,0.004181058,0.004181058,0.003999273,0.003999273,0.003999273,0.0038174877,0.0038174877,0.0038174877,0.0038174877,0.0036357027,0.0036357027,0.0036357027,0.0034539176,0.0034539176,0.0034539176,0.0032721322,0.0032721322,0.0032721322,0.0032721322,0.0030903472,0.0030903472,0.0030903472,0.0030903472,0.0030903472,0.002908562,0.002908562,0.002908562,0.002908562,0.002908562,0.002726777,0.002726777,0.002726777,0.002544992,0.002544992,0.002544992,0.002544992,0.002544992,0.0023632066,0.0023632066}",15
bookings,boarding_passes,ticket_no,text,2463832,0.00,PK FK,-1,ONE_TO_ONE,segments,ticket_no,NULL,NULL,14
bookings,boarding_passes,flight_id,integer,2463832,0.00,PK FK UNIQUE,-1,NULL,NULL,NULL,"{626,10964,308,1694,1793,2116,2995,3706,3879,4144,6983,7662,9794,10060,104,359,1468,2264,4110,4191,4231,5981,6088,7314,7511,9218,9229,9378,10106,7,153,181,775,1890,2195,2273,2520,2940,2977,3223,4187,4529,4778,4796,5014,5055,5260,5286,6041,6297,6535,6860,7285,7322,7614,7645,8287,8877,9094,10075,10386,10951}","{0.00043333333,0.00043333333,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00036666667,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333,0.00033333333}",4
bookings,boarding_passes,seat_no,text,2463832,0.00,UNIQUE,-1,NULL,NULL,NULL,"{20A,11A,22D,20C,22A,21A,20D,22C,12D,1A,21C,21D,23D,22B,17A,18C,21B,20B,18B,18A,1D,22F,2A,17C,17D,24B,28E,2D,7A,23B,47D,11D,19B,11F,16D,19C,3A,12A,13A,19A,19D,22E,24A,7D,9A,17B,23E,26B,8D,14A,18D,26C,35D,20F,21F,28C,30A,33J,11C,32A,34C,42B,44F,14D,29F,23C,24F,34J,4A,24E,25C,26A,35B,46C,46K,47C,5A,12E,16A,21E,29D,29E,32J,33A,8A,12C,16C,35C,35F,19F,20E,24C,24D,25E,42J,45B,12B,15A,30K,44C}","{0.0044,0.0043,0.0042666667,0.0040666666,0.004033333,0.0039666668,0.0039333333,0.0039,0.0037666666,0.0037666666,0.0036,0.0036,0.0036,0.0035666667,0.0035333333,0.0035333333,0.0035,0.0034666667,0.0034,0.0033666666,0.0033666666,0.0033666666,0.0033666666,0.0033333334,0.0033333334,0.0033333334,0.0033333334,0.0033333334,0.0033333334,0.0033,0.0032333334,0.0032,0.0031666667,0.0031333333,0.0031333333,0.0031333333,0.0031,0.0030666667,0.0030333332,0.0030333332,0.0030333332,0.0030333332,0.0030333332,0.0029666666,0.0029666666,0.0029333334,0.0029333334,0.0029333334,0.0029333334,0.0028666668,0.0028666668,0.0028666668,0.0028666668,0.0028,0.0027666667,0.0027666667,0.0027666667,0.0027666667,0.0027333333,0.0027333333,0.0027333333,0.0027333333,0.0027333333,0.0027,0.0027,0.0026666666,0.0026666666,0.0026666666,0.0026666666,0.0026333334,0.0026333334,0.0026333334,0.0026333334,0.0026333334,0.0026333334,0.0026333334,0.0026333334,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0025666666,0.0025666666,0.0025666666,0.0025666666,0.0025333334,0.0025333334,0.0025333334,0.0025333334,0.0025333334,0.0025333334,0.0025333334,0.0025,0.0025,0.0025,0.0025}",3
